smiles,y_label
COc1cc(/C=N/NC(=O)Cc2cccs2)cc(Br)c1O,1
COC(=O)c1ccc(C)c(-n2c(C)cc(/C=C(/C#N)C(=O)NCc3ccc(OC)cc3)c2C)c1,1
Cn1cccc1CC(=O)N/N=C/c1cccc(Br)c1,1
Cc1ccc(S(=O)(=O)N2CCN(C(=O)CCl)CC2)c(C)c1,0
C[C@H](NC(=O)/C(C#N)=C/c1ccc2c(c1)OCCO2)c1ccccc1,1
COC(=O)[C@H]1[C@H](c2ccccc2)[C@H]2C(=O)N[C@@]1(C)NC2=C(C#N)C#N,0
CCc1ccc(N2C[C@H](C(=O)NNC(=O)CN(C)S(=O)(=O)c3ccc(C)cc3)CC2=O)cc1,0
Cc1ccc(B(O)O)cc1,0
Cc1ccc(N2C(=O)[C@H](/C=N\NC(=O)c3cccc([N+](=O)[O-])c3)C(=O)NC2=S)cc1,0
CS(=O)(=O)c1cccc(C(=O)NNC(=O)/C=C\c2ccco2)c1,0
O=C(N/N=C/c1ccccc1O)c1cc(-c2ccccc2Cl)n[nH]1,1
COc1ccc([C@@H]2c3c(n[nH]c3C(C)C)OC(N)=C2C#N)cc1O,1
O=S1(=O)C[C@H]2Sc3nncn3[C@H]2[C@@H]1Br,0
O=C1OC(=O)[C@H]2[C@H]1[C@H]1C=C[C@H]2[C@@H]2[C@H]3C(=O)OC(=O)[C@H]3C=C(c3ccccc3)[C@@H]12,0
CC(C)C(=O)Nc1ccc(CC(=O)NN)cc1,0
O=S1(=O)C[C@H](Cl)[C@H](OC[C@@H](Cl)CCl)C1,0
CCN(CC)c1ccc(/C=C(\C#N)C(=O)N2CCOCC2)cc1,1
COC(=O)c1ccc(NC(=O)/C(C#N)=C/c2c(O)ccc3ccccc32)cc1,1
COc1cc(/C=N\NC(=O)Cn2ncn(-c3ccccc3)c2=O)ccc1OC(=O)C[C@H]1SC(=O)NC1=O,0
CCCS(=O)(=O)c1c(C(=O)N/N=C/c2ccc(OC)c(OC)c2)n2cccc(C)c2c1S(=O)(=O)CCC,1
COC(=O)c1ccc(/C=C(\C#N)c2ccc(Cl)cc2)cc1,1
Cc1ccccc1OCC(=O)N/N=C/c1ccc(Oc2ccccc2)cc1,1
Cn1c(=O)n2n(c1=O)[C@H]1[C@H]3[C@H]4[C@H]5[C@@H]3[C@@]13C[C@@H](Br)[C@H](O)C[C@]53[C@@H]42,0
Cc1cc(/C=N/NC(=O)COc2ccccc2I)c(C)n1-c1cccc([N+](=O)[O-])c1,1
O=C(NNS(=O)(=O)c1ccc(OC(F)(F)F)cc1)c1csc(N2CCOCC2)n1,0
Cc1cc(/C=C(/C#N)C(N)=O)c(C)n1C[C@@H]1CCCO1,0
Cc1cccc(C(=O)Oc2c(Br)cc(Br)cc2C=NNC(=O)c2cccc(NC(=O)c3ccc(Cl)cc3Cl)c2)c1,1
O=C(CCn1c2ccccc2c2ccccc21)N/N=C/c1ccccc1Br,1
CS(=O)(=O)N(CC(=O)N/N=C\c1cccc(Cl)c1Cl)C1CCCCC1,1
COc1cc([N+](=O)[O-])cc2cc(C(=O)N/N=C/c3cccc(OC)c3O[C@H](C)C(=O)O)oc21,1
N#C/C(=C\c1ccccc1Cl)C(=O)Nc1cc([N+](=O)[O-])ccc1Cl,1
CCCOc1ccc(C(=O)N/N=C(\C)c2cc(C)c(OC)c(C)c2)cc1,1
Cc1ccc(NCC(=O)NN=C2CCSC2)cc1,1
C[C@@H](O)C/C=N\NC(=O)C(=O)N/N=C\C[C@H](C)O,0
O=C(NN=Cc1cccc([N+](=O)[O-])c1)c1ccc[n+]([O-])c1,0
C/C(N)=C(\C#N)C(=O)COC(=O)c1ccc(Cl)c(S(=O)(=O)N2C[C@@H](C)O[C@@H](C)C2)c1,0
CN(C)c1cccc(C(=O)NNC(=O)CN2C(=O)[C@H]3CC=CC[C@@H]3C2=O)c1,0
CC[C@@H](NCC(=O)NNC(=O)c1ccco1)c1c(C)noc1C,0
Cc1ccc(COc2cccc(/C=N/NC(=O)c3cc(O)ccc3O)c2)cc1,1
O=C(NNC(=O)c1ccco1)c1ccco1,0
COc1ccc(/C=N/NC(=O)CNC(=O)c2ccco2)cc1OC,0
CC1=NNC(=O)[C@H]1CCC(=O)N/N=C\c1ccccc1Cl,0
CN(C)S(=O)(=O)c1sc(N(C)C(=O)Cl)nc1Cl,0
CCOC(=O)c1sc(CC(=O)/C(C#N)=C/c2ccccc2OCc2ccc(F)cc2)c(C#N)c1C,1
N#Cc1ccc(N=C=O)cc1,0
Cn1nc(C(=O)NNC(=O)c2cc(=O)[nH]c3ccccc32)c2ccccc2c1=O,0
CCOc1cc(/C=C(\C#N)C(=O)Nc2ccc(O)cc2)ccc1OS(=O)(=O)c1ccccc1,1
COc1ccccc1NC(=O)C1=C(C)NC(SCC(=O)Nc2cc(OC)c(Cl)cc2OC)=C(C#N)[C@@H]1c1ccco1,1
N#C[C@@H](Cl)C[n+]1cc[nH]c1,0
COc1ccc(/C=N/NC(=O)c2ccc(N(C)S(C)(=O)=O)cc2)c(OC)c1,0
CC(=O)NNc1nc(C)cc(=O)[nH]1,0
O=C(CNC(=O)c1ccc2c(c1)OCCO2)N/N=C/c1cccc(Cl)c1,1
CCCCOc1ccc(C(=O)NCC(=O)N/N=C/c2cccc(O)c2)cc1,1
COc1ccc(C(=O)NN2C[C@@H](C(=O)OCC(=O)NNC(=O)c3ccccc3Cl)CC2=O)cc1OC,0
NCCOC(=O)N(CCCl)CCCl,0
COc1cc(/C=N/NC(=O)Cc2nnc(NC(=O)CCl)s2)ccc1O,0
N#C[C@@]12CC(C=O)=C(N)[C@]1(C#N)CC(C=O)=C2N,0
[C-]#[N+]C[C@H]1CCCO1,0
Cc1ccnc(N/C=C(/NC(=O)c2ccccc2)C(=O)NN)n1,0
C=CC(=O)N1CC[C@@]2(C)[C@H](C1)[C@@H]2Br,0
COc1ccc(OC(=O)N/N=C2\c3cc(OC)ccc3NC2=O)cc1,1
Cc1ccc(S(=O)(=O)N(CC(=O)N/N=C/c2ccc(N(C)C)c(Br)c2)c2ccc(C)c(Cl)c2)cc1,1
COCCNC(=O)CC(=O)N/N=C\c1ccc(OCC(=O)Nc2ccc(OC)cc2)cc1,0
CCCC(=NNC(=O)COC1=CCCCC1)c1ccc(C)cc1,1
CC(=O)NNC(=O)C12CC3CC(CC(C3)C1)C2,0
Cc1c(Br)cc(/C=C(/C#N)Cn2cnc3ccccc32)cc1Br,1
Cn1cc(I)c(C(=O)NNC(=O)Nc2ccc([N+](=O)[O-])cc2)n1,0
CCCOc1cc(OC)ccc1/C=C(\C#N)C(N)=O,0
COCCCNC(=O)C(=O)N/N=C/c1ccc(OCc2ccccc2)cc1,0
Cc1ccc(NNC(=O)CN2CSCC2=O)cc1Cl,0
N#Cc1cnc(SCC(=O)NNC(=O)COc2ccccc2)nc1N,0
CCN(CC)c1ccc(/C=N/NC(=O)c2nnn(-c3nonc3N)c2CN(C)C2CCCCC2)cc1,1
Cc1nc(N2CCOCC2)sc1C(=O)NNC(=O)[C@@H]1CCCN(C(=O)c2cccs2)C1,0
CNC(=O)C(=O)N/N=C/c1cccc(OCC(=O)Nc2cccc(Cl)c2C)c1,0
COc1c(O)cc([C@H]2C(C#N)=C(N)OC3=C2C(=O)CC(C)(C)C3)cc1[N+](=O)[O-],1
O=C(NN=c1c(=O)c2ccccc2c1=O)c1ccc([N+](=O)[O-])cc1,0
CN(C)c1ccc(/C=N/NC(=O)CNC(=O)c2ccc3c(c2)OCO3)cc1,0
O=C(CBr)[C@H]1CCOC1,0
CC(=O)[C@@H](Cl)S(C)(=O)=O,0
O=C(NNC(=O)c1ccc(-n2cnnn2)cc1)c1ccco1,0
COc1ccc(/C=C(\C#N)C(=O)N[C@@H]2CCCC[C@@H]2C)cc1[N+](=O)[O-],1
O=C(c1ccccc1B(O)O)N1CCOCC1,0
CCOc1cccc(-c2c(C(=O)N/N=C(\C)c3ccccn3)nnn2-c2nonc2N)c1,0
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(C)=O)CS[C@H]12)c1csc(NC(=O)CCl)n1,0
C/C(=N\NC(=O)c1ccco1)c1cc2c(cc1NC(=O)/C=C/C(=O)O)OCO2,0
COc1ccnc(NNC(=O)Cc2cccc(F)c2)n1,0
CC(C)(C)c1ccc(C(=O)NN2C[C@@H](C(=O)O[C@@H](CCCl)C(=O)c3ccc(Cl)cc3)CC2=O)cc1,1
Cn1cccc1C(=O)NNC(=N)CN1CCCCC1,0
COc1cc(/C=N/NC(=O)CC#N)cc(I)c1OCC(=O)O,0
CCCCn1c(NNC=O)nc2c1c(=O)[nH]c(=O)n2C,0
NNC(=O)c1ccc2c3c(cccc31)CC2,0
COc1ccc(OC)c(/C=N\NC(=O)C(C)C)c1,0
COc1ccc(NC(=O)NCCC(=O)NNC(=O)c2ccoc2C)cc1,0
COc1ccc(Br)c(C(=O)NN)c1,0
CCS(=O)(=O)[C@@H](I)[C@@H](O)C1CC1,0
O=C(O)CNC1CCC(Br)CC1,0
COC(=O)[C@@](O)([C@H](Cl)C(=O)Nc1cc(F)ccc1F)C(F)(F)F,1
C/C(CC(=O)NC(C)(C)C)=N\NC(=O)C(=O)Nc1ccccc1C,0
CN(C)C[C@@H]1CCCC[C@@H](Br)C1=O,1
COc1cc(/C=N/NC(=O)Cn2cncn2)ccc1OCc1ccc(Cl)c(Cl)c1,1
Cn1nccc1/C=N/NC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,0
N#CCN(CC#N)C(=O)C(Cl)Cl,0
C/C(CC(=O)N1CCN(C=O)CC1)=N\NC(=O)c1cccc([N+](=O)[O-])c1,0
C#CCOc1c(Cl)cc(/C=N/NC(=O)c2cc3cc([N+](=O)[O-])ccc3o2)cc1Cl,1
N=C(CCl)N[C@@H]1CN2CCC1CC2,0
Cc1nn(-c2ccccc2)c(Cl)c1/C=N/NC(=O)COc1ccc([N+](=O)[O-])cc1,1
COC(=O)NNC(=O)c1ccccc1Br,0
Cc1cc(C(=O)NNC(=O)c2ccc(=O)[nH]n2)c(C)n1-c1ccc(F)cc1,0
CC(C)(C)/C(=N/Nc1c(Cl)cc(Cl)cc1Cl)[C@H](SSc1ccccc1)Sc1ccccc1,1
O=C(CNC(=O)C1CCCCC1)NNC(=O)c1ccc(-c2ccccc2)cc1,1
Cc1ccc(C(=O)N/N=C\c2ccc(C(=O)O)cc2)cn1,0
CC(C)N(Cc1ccccc1)C(=O)CCl,1
Cc1ccc(S(=O)(=O)N(C)CC(=O)NNC(=O)[C@H]2CCCO2)cc1,0
O=C(NN=C1CCn2cccc21)c1cc(Br)c[nH]1,1
C=CCN1/C(=N/C=C(\C#N)C(=O)NCCc2ccc(OC)c(OC)c2)S[C@@H]2CS(=O)(=O)C[C@H]21,0
CC(=O)O[C@H]1[C@@H](CNC(=O)N(C)N=O)O[C@@](CNC(=O)N(C)N=O)(O[C@H]2O[C@@H](CNC(=O)N(C)N=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H]2OC(C)=O)[C@H]1OC(C)=O,0
O=S1(=O)C[C@@H](NCc2ccccc2Cl)[C@H](Cl)C1,0
O=C(CNc1ccc(Cl)cc1)N/N=C/c1ccc(OCc2ccc(Cl)cc2Cl)cc1,1
O=C(NN=Cc1c(Cl)nc2sccn12)c1cnc2ccccn2c1=O,0
N#Cc1ccccc1COc1c(Br)cc(/C=N/NC(=O)c2cccc(C(F)(F)F)c2)cc1Br,1
CC(=O)Oc1cc([N+](=O)[O-])c(OC(C)=O)c(C)c1OC(C)=O,0
O=C(N/N=C/c1ccncc1)c1nnn(-c2ccc([N+](=O)[O-])cc2)c1C(=O)N/N=C/c1ccncc1,0
C[C@@H](C(=O)NN)S(=O)(=O)c1ccc(Cl)cc1Cl,0
CC(C)(C)CC(C)(C)c1ccc(OCC(=O)N/N=C/c2ccc3c(c2)OCO3)cc1,1
C[C@]12CCC[C@@H]1[C@@H]1CC[C@H]3CC(=O)[C@H](Br)C[C@@]3(C)[C@H]1CC2,1
Cc1cccc(N(CC(=O)NN=C2CCCCC2)S(C)(=O)=O)c1,1
C[C@@]1(C(=O)N/N=C/c2ccco2)CC1(Br)Br,1
O=C(N/N=C/c1ccc([N+](=O)[O-])cc1)c1ccn(Cc2ccc([N+](=O)[O-])cc2)n1,1
CCN(CC)Cc1c(C(=O)N/N=C/c2cc(OC)c(OC)c(OC)c2)nnn1-c1nonc1N,0
N#C/C(=C/c1ccsc1)C(=O)O,0
CCS(=O)(=O)[C@H](Cl)[C@@H](O)c1ccccc1F,0
C[C@@H](NC(=O)CI)C(=O)Nc1ccc(C(=O)O)c(O)c1,0
CC1(C)OC(=O)C([C@H](c2ccc3c(c2)OCO3)[C@H](C#N)C(N)=C(C#N)C#N)C(=O)O1,0
O=C(N/N=C/c1ccc(OC(=O)c2ccccc2F)cc1)C(=O)Nc1ccc(Cl)c(Cl)c1,1
CCOc1ccccc1N(CC(=O)N/N=C/c1cccc2ccccc12)S(=O)(=O)c1ccccc1,1
COc1ccccc1/C=N/NC(=O)CC(=O)NC(C)C,0
O=C(NNC(=O)[C@@H]1CCCN(S(=O)(=O)c2cccc(F)c2)C1)C1CC1,0
CC(C)Oc1cccc(/C=C(\C#N)C(N)=O)c1,0
CC[C@H]1S/C(=C(/C#N)C(=O)NCc2ccccc2)N(c2ccc(Br)cc2)C1=O,1
Cc1nn(CCC#N)c(C)c1CCC(=O)NNC(=O)c1ccncc1,0
OB(O)c1ccccc1OCc1cccc(F)c1,0
COc1cc(Cl)c(C=NNC(=O)CN2CCOCC2)cc1OC,0
COC(=O)C(=C(\C(=O)OC)P(c1ccccc1)c1ccccc1)/C(C(=O)OC)=C(/C(=O)OC)c1ccccc1,1
COc1ccc(/C=N/NC(=O)c2[nH]ncc2I)cc1,0
O=C1OC(=O)[C@H]2C[C@H](Cl)[C@H](Cl)C[C@@H]12,0
CCOc1cc(/C=N/NC(=O)Cn2c(C)c(Br)c(COC)c(C#N)c2=O)ccc1OCC(=O)N1CCOCC1,0
Cc1[nH]nc2c1[C@@]1(C[C@@H](C)N(C)C[C@@H]1C)C(C#N)=C(N)O2,0
O=C(N/N=C/c1cc(Br)ccc1O)c1cccc(F)c1,1
C[C@@]12C=C[C@@H](O1)[C@H](C(=O)O)[C@H]2C(=O)NNC(=O)c1ccc(NC(=O)c2ccccc2)cc1,0
COC(=O)Oc1ccc(/C=N/NC(=O)CSCc2ccccc2Cl)cc1OC,1
CC(C)(C)OC(=O)N1CC(B(O)O)C1,0
COc1cccc(CC(=O)N/N=C\c2cn(CC(N)=O)c3ccccc23)c1,0
Cc1cc(C)c(CC(=O)NNC(=S)Nc2ccc(C(C)C)cc2)c(C)c1,1
COc1ccc(-n2c(SCC(=O)NNC(=O)C(C)C)nnc2-c2cccnc2)cc1,1
O=C(N/N=C/c1cccc(/C=N/NC(=O)c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2)c1)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,1
CNC(=S)NNC(=O)[C@H](O)[C@@H](O)C(=O)NNC(=S)NC,0
O=C(CCl)NCc1ccc(S(=O)(=O)N2CCOCC2)cc1,0
CCOc1ccc([C@H](O)CCC(=O)N/N=C/c2cn(Cc3ccc(Br)cc3)c3ccccc23)cc1,1
O=C(CN1CCC(C(=O)N/N=C/c2ccc3c(c2)OCO3)CC1)N/N=C/c1ccc2c(c1)OCO2,0
Cc1cccc(C(=O)Oc2ccc(/C=N/NC(=O)[C@H](C)Oc3cccc4ccccc43)cc2)c1,1
O=C(O)c1ccc(NC(=O)CN2C(=O)[C@@H]3[C@@H](C2=O)[C@@H]2C[C@@H]3[C@@H](Br)[C@H]2Br)cc1,1
CCOC(=O)CN1C(C)=C(C(=O)OC)[C@@]2(C1=O)c1ccccc1OC(N)=C2C#N,0
N#C/C(=C\c1ccc(OCc2ccccc2Cl)c(Br)c1)C(=O)Nc1ccccc1Cl,1
CCOc1ccc(N(CC(=O)N/N=C/c2ccc(OCc3ccc([N+](=O)[O-])cc3)cc2)S(=O)(=O)c2ccc(Cl)cc2)cc1,1
COc1ccccc1NS(=O)(=O)c1cccc(C(=O)N/N=C(\C)c2ccc(Br)cc2)c1,1
COc1ccc(/C=N\NC(=O)CSc2nnc(SCc3ccccc3Cl)s2)c(OC)c1,1
Cc1ccc2c(c1)/C(=N/NC(N)=O)C(=O)N2C,0
CCCOc1ccc(/C=C(/C#N)C(=O)Nc2ccccc2C)cc1,1
CCN(CC)c1ccc(/C=C(/C#N)C(=O)Nc2cccc(Br)c2)cc1,1
C[N+](C)(C)CC(=O)N/N=C\c1cccs1,0
CCCOc1ccc(-c2c(C(=O)N/N=C/c3ccccc3Cl)nnn2-c2nonc2N)cc1,1
Cc1cc2c(c(=O)o1)[C@H](c1ccc(F)cc1Br)C(C#N)=C(N)O2,1
COc1ccc(OC)c(N(CC(=O)N/N=C/c2ccc(OCC(=O)Nc3ccccc3Cl)cc2)S(=O)(=O)c2ccc(OC)c(OC)c2)c1,1
C/C(N)=C(/C#N)C(=O)CSc1ncccn1,0
O=C(N/N=C\c1cc(Br)cs1)c1cccnc1,1
ClCCC1CCCCCC1,1
Cn1cncc1CBr,0
COc1ccc(C(=O)NNC(=O)CC(C)C)cc1S(=O)(=O)N(C)C,0
CC(C)(C)C(=O)/C=C1\SCC(=O)N1CC(=O)N/N=C1\C[C@@H]2CC[C@@]1(C)C2(C)C,1
CC1CCN(CC(=O)NNc2ncnc3ccccc32)CC1,0
O=C(N/N=C/c1ccc2c(c1)CCC2)c1ccc([N+](=O)[O-])cc1,1
CCn1c(C)cc2c(c1=O)[C@@H](c1cccnc1)C(C#N)=C(N)O2,0
N#C/C(=C/c1cc(Cl)cc(Br)c1O)C(=O)Nc1ccccc1F,1
NNC(=O)Cc1cc(=O)oc2cc(O)ccc12,0
COc1ccc(C(=O)N/N=C(\C)CC(=O)Nc2ccc(C)cc2)cc1,1
CC/C(C)=N/NC(=O)CC#N,0
CCOc1ccc2nc(O)c(C=NNC(=O)c3ccc([N+](=O)[O-])cc3)cc2c1,1
N#C[C@H](C(=O)N/N=C/c1ccc(OCCOc2ccc(Cl)cc2)cc1)c1ccccc1,1
CSc1ccc(B(O)O)cc1C,0
N#C/C=C(\O)[C@@H]1CCCO1,0
COC(=O)NNC(=S)c1nc2ccccc2nc1C,0
C=CCOc1c(Cl)cc(/C=C(/C#N)C(=O)N(C)C)cc1OCC,1
COc1ccc(N(CC(=O)N/N=C/c2ccc(OCC(N)=O)cc2)S(C)(=O)=O)cc1Cl,0
CCOc1cc(/C=C(\C#N)c2nc3ccccc3[nH]2)cc(I)c1OS(=O)(=O)c1ccccc1,1
CCOc1ccc(/C=N/NC(=O)CCc2c(C)[nH]nc2O)cc1,1
COc1cc(C=NNC(=O)CC(=O)NN=Cc2ccc(O)c(OC)c2)ccc1O,0
CCc1ccc(NC(=O)C(=O)N/N=C(\C)CC(=O)Nc2ccc(Nc3ccccc3)cc2)cc1,1
COc1cccc2cc(C(=O)N/N=C/c3ccc(N4CCOCC4)c(F)c3)oc21,1
COc1cccc(/C=N/NC(=O)c2ccc(N(Cc3ccc(Cl)cc3)S(C)(=O)=O)cc2)c1O,1